SALARIO;CLIENTE;EDAD;HIJOS;CREDITO
Poco;Si;Joven;Uno;NO
Mucho;Si;Joven;Uno;SI
Mucho;Si;Joven;Uno;SI
Poco;Si;Joven;Uno;NO
Mucho;Si;Joven;Dos;SI
Poco;Si;Joven;Dos;NO
Mucho;Si;Adulto;Dos;SI
Mucho;Si;Adulto;Dos;SI
Poco;No;Adulto;Dos;NO
Mucho;Si;Adulto;Dos;SI
Medio;No;Adulto;Tres;NO
Mucho;Si;Adulto;Dos;SI
Medio;Si;Adulto;Dos;SI
Medio;No;Adulto;Tres;NO
Medio;No;Adulto;Dos;SI
Mucho;No;Mayor;Tres;NO
Poco;No;Mayor;Tres;SI
Poco;No;Mayor;Tres;SI
Mucho;No;Mayor;Tres;NO
Mucho;No;Mayor;Tres;SI
